Price,Description,Address,# Bath,# Bed,# Water Room,Note,ULS,Link
349 000, Maison à étages à vendre,814 Rue Georges-É.-Tremblay Baie-Saint-Paul (Charlevoix),2,4,1,Nouveauté sur le marché,24530058,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/814-rue-georges-e-tremblay-baie-st-paul-charlevoix-24530058.rmx
339 700, Maison à étages à vendre,2781 Av. Gonthier Mercier/Hochelaga-Maisonneuve (Mercier),1,3,1,Nouveauté sur le marché,24029881,https://www.remax-quebec.com//fr/maison-a-vendre-montreal/2781-av-gonthier-mercier-24029881.rmx
2 300 par mois, Appartement à louer,1000 Rue Ottawa  app.1212 Griffintown,1,2,0,Nouveauté sur le marché,12732998,https://www.remax-quebec.com//fr/condo-a-louer-montreal/1000-rue-ottawa-griffintown-12732998.rmx
219 000, Maison de plain-pied à vendre,141 Rue du Klondike Saint-Alphonse-de-Granby,2,4,0,Nouveauté sur le marché,18071759,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/141-rue-du-klondike-st-alphonse-18071759.rmx
419 500, Maison à paliers multiples à vendre,943 Rue Raoul-Blanchard Sainte-Foy/Sillery/Cap-Rouge (Cap-Rouge),2,4,0,Nouveauté sur le marché,26692403,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/943-rue-raoul-blanchard-cap-rouge-26692403.rmx
749 000, Maison à étages à vendre,3648 Rue du Bois-de-Chêne Sainte-Foy/Sillery/Cap-Rouge (Pointe-de-Sainte-Foy),2,2,1,Nouveauté sur le marché,18581679,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/3648-rue-du-bois-de-chene-ste-foy-18581679.rmx
650 par mois, Maison à étages à louer,199 Saint-Georges  Route de Wotton,2,3,1,Nouveauté sur le marché,10371077,https://www.remax-quebec.com//fr/maison-a-louer-estrie/199-saint-georges-route-de-wotton-10371077.rmx
92 900, Maison mobile à vendre,77 3e Rue Pointe-Lebel,1,3,0,Nouveauté sur le marché,27928862,https://www.remax-quebec.com//fr/maison-mobile-a-vendre/77-3e-rue-pointe-lebel-27928862.rmx
1 150 par mois, Appartement à louer,1530 Av. Victoria Greenfield Park,1,2,0,Nouveauté sur le marché,16841542,https://www.remax-quebec.com//fr/condo-a-louer/1530-av-victoria-greenfield-park-16841542.rmx
234 900, Maison de plain-pied à vendre,306 Rue du Ruisseau Napierville,2,2,0,Nouveauté sur le marché,24375898,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/306-rue-du-ruisseau-napierville-24375898.rmx
550 par mois, Maison à étages à louer,203 Saint-Georges  Route de Wotton,1,1,1,Nouveauté sur le marché,21517172,https://www.remax-quebec.com//fr/maison-a-louer-estrie/203-saint-georges-route-de-wotton-21517172.rmx
224 900, Maison de plain-pied à vendre,898 Rue du Domaine Saint-Jean-sur-Richelieu,1,4,1,Nouveauté sur le marché,22542867,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/898-rue-du-domaine-st-jean-sur-richelieu-22542867.rmx
324 900, Maison à étages à vendre,805 Rue des Criquets Saint-Lazare,2,3,1,Nouveauté sur le marché,28652254,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/805-rue-des-criquets-st-lazare-28652254.rmx
330 000, Maison à étages à vendre,60 Rue Main Hatley - Municipalité,2,3,0,Nouveauté sur le marché,24132983,https://www.remax-quebec.com//fr/maison-a-vendre-estrie/60-rue-main-hatley-municipalite-24132983.rmx
107 000, Maison à étages à vendre,3221 Rue Lamarche Sorel-Tracy (Tracy),1,2,1,Nouveauté sur le marché,27388519,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/3221-rue-lamarche-sorel-tracy-tracy-27388519.rmx
89 900, Maison de plain-pied à vendre,81 Ch. Linda Notre-Dame-des-Bois,2,3,0,Nouveauté sur le marché,13972625,https://www.remax-quebec.com//fr/maison-a-vendre-estrie/81-ch-linda-notre-dame-des-bois-13972625.rmx
389 900, Appartement à vendre,300 Rue Ann  app.103 Griffintown,1,1,0,Nouveauté sur le marché,22397042,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/300-rue-ann-griffintown-22397042.rmx
350 000, Maison de plain-pied à vendre,4177 Rue Acres Pierrefonds,1,4,1,Nouveauté sur le marché,28447586,https://www.remax-quebec.com//fr/maison-a-vendre-montreal/4177-rue-acres-pierrefonds-28447586.rmx
219 900, Appartement à vendre,2666 Av. de la Gare Mascouche,1,3,1,Nouveauté sur le marché,15911413,https://www.remax-quebec.com//fr/condo-a-vendre/2666-av-de-la-gare-mascouche-15911413.rmx
259 500, Maison de plain-pied à vendre,1649 Av. Fonrouge Chambly,1,3,0,Nouveauté sur le marché,28161101,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/1649-av-fonrouge-chambly-28161101.rmx
2 500 par mois, Appartement à louer,434 Ch. de la Côte-Ste-Catherine Outremont,2,3,1,Nouveauté sur le marché,28941384,https://www.remax-quebec.com//fr/condo-a-louer-montreal/434-ch-de-la-cote-ste-catherine-outremont-28941384.rmx
335 000, Maison de plain-pied à vendre,3661 Rue Caron Saint-Hubert,2,3,0,Nouveauté sur le marché,23326875,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/3661-rue-caron-st-hubert-23326875.rmx
275 000, Maison de plain-pied à vendre,211 Rue Madeleine Saint-Jean-sur-Richelieu (L'Acadie),2,5,0,Nouveauté sur le marché,25299038,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/211-rue-madeleine-st-jean-sur-richelieu-l-acadie-25299038.rmx
775 000, Maison de plain-pied à vendre,1 Rue de la Belle-Plage Sainte-Rose (Laval) (Vieux Ste-Rose),1,2,1,Nouveauté sur le marché,10366778,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/1-rue-de-la-belle-plage-ste-rose-10366778.rmx
259 000, Appartement à vendre,7620 Boul. Marie-Victorin  app.413 Brossard,1,1,0,Nouveauté sur le marché,10852226,https://www.remax-quebec.com//fr/condo-a-vendre/7620-boul-marie-victorin-brossard-10852226.rmx
399 000, Maison à un étage et demi à vendre,498 Ch. du Bord-de-l'Eau Sainte-Dorothée (Laval),1,4,1,Nouveauté sur le marché,10992101,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/498-ch-du-bord-de-l-eau-st-dorothee-10992101.rmx
279 500, Maison à étages à vendre,7977 Boul. Wilfrid-Hamel  app.D Sainte-Foy/Sillery/Cap-Rouge (Aéroport),1,3,1,Nouveauté sur le marché,11951464,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/7977-boul-wilfrid-hamel-ste-foy-11951464.rmx
129 000, Maison de plain-pied à vendre,7 Boul. Lévesque Bedford - Ville,1,3,0,Nouveauté sur le marché,13555796,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/7-boul-levesque-bedford-ville-13555796.rmx
209 900, Maison de plain-pied à vendre,9195 Av. Ampleman Charlesbourg (Des Jésuites),2,3,0,Nouveauté sur le marché,13788461,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/9195-av-ampleman-charlesbourg-des-jesuites-13788461.rmx
239 900, Maison de plain-pied à vendre,9875 Rue St-Charles Neufchâtel-Est/Lebourgneuf,1,4,1,Nouveauté sur le marché,20121776,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/9875-rue-st-charles-neufchatel-20121776.rmx
264 500, Maison de plain-pied à vendre,816 Rue des Mélèzes Saint-Eustache,2,3,0,Nouveauté sur le marché,23834201,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/816-rue-des-melezes-ste-eustache-23834201.rmx
549 000, Maison à étages à vendre,8115 Rue Louisbourg Brossard,1,3,1,Nouveauté sur le marché,16863645,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/8115-rue-louisbourg-brossard-16863645.rmx
324 900, Maison à étages à vendre,16 Av. des Grands-Jardins Ferme Limbour  Limbour,1,4,1,Nouveauté sur le marché,26499258,https://www.remax-quebec.com//fr/maison-a-vendre-outaouais/16-av-des-grands-jardins-ferme-limbour-limbour-26499258.rmx
269 900, Maison à étages à vendre,546 Rue des Rossignols Lachute,1,3,2,Nouveauté sur le marché,15923102,https://www.remax-quebec.com//fr/maison-a-vendre-laurentides/546-rue-des-rossignols-lachute-15923102.rmx
359 900, Maison de plain-pied à vendre,47 Rue Adam Vaudreuil-Dorion,2,3,0,Nouveauté sur le marché,18584352,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/47-rue-adam-vaudreuil-dorion-18584352.rmx
204 000, Appartement à vendre,12307 Rue Paul-Sauvé Mirabel (Saint-Augustin),1,2,0,Nouveauté sur le marché,27586845,https://www.remax-quebec.com//fr/condo-a-vendre-laval-rive-nord/12307-rue-paul-sauve-mirabel-st-augustin-27586845.rmx
424 000, Maison de plain-pied à vendre,1323 Rue Julien-Green Sainte-Foy/Sillery/Cap-Rouge (Saint-Louis),1,5,1,Nouveauté sur le marché,10924560,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/1323-rue-julien-green-st-louis-10924560.rmx
3 700 par mois, Appartement à louer,5010 Av. Victoria Côte-des-Neiges,2,4,0,Nouveauté sur le marché,9465319,https://www.remax-quebec.com//fr/condo-a-louer-montreal/5010-av-victoria-cote-des-neiges-9465319.rmx
207 500, Appartement à vendre,8455 Rue des Aïeux Neufchâtel-Est/Lebourgneuf,1,2,0,Nouveauté sur le marché,26313275,https://www.remax-quebec.com//fr/condo-a-vendre-region-de-quebec/8455-rue-des-aieux-neufchatel-26313275.rmx
749 000, Maison à étages à vendre,5825 Rue Viau Rosemont/La Petite-Patrie (Cité-Jardin),1,4,1,Nouveauté sur le marché,23700573,https://www.remax-quebec.com//fr/maison-a-vendre-montreal/5825-rue-viau-rosemont-la-petite-patrie-cite-jardin-23700573.rmx
740 000, Maison à paliers multiples à vendre,34 Rue Oriole Kirkland,2,3,1,Nouveauté sur le marché,14826011,https://www.remax-quebec.com//fr/maison-a-vendre-montreal/34-rue-oriole-kirkland-14826011.rmx
154 500, Maison de plain-pied à vendre,588 Rue des Érables Waterloo,2,5,0,Nouveauté sur le marché,19556704,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/588-rue-des-erables-waterloo-19556704.rmx
659 000, Maison à étages à vendre,145 Carlton Road Beaconsfield,2,4,1,Nouveauté sur le marché,27759623,https://www.remax-quebec.com//fr/maison-a-vendre-montreal/145-carlton-road-beaconsfield-27759623.rmx
349 000, Appartement à vendre,5133 Rue Jeanne-Mance Plateau Mont-Royal,1,2,0,Nouveauté sur le marché,13488914,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/5133-rue-jeanne-mance-plateau-mont-royal-13488914.rmx
117 500, Maison à un étage et demi à vendre,292 Rue Vallilée Chute-aux-Outardes,2,3,1,Nouveauté sur le marché,24948323,https://www.remax-quebec.com//fr/maison-a-vendre-cote-nord/292-rue-vallilee-chute-aux-outardes-24948323.rmx
975 par mois, Appartement à louer,2149 Rue Ménard LaSalle,1,3,0,Nouveauté sur le marché,9364692,https://www.remax-quebec.com//fr/condo-a-louer-montreal/2149-rue-menard-lasalle-9364692.rmx
359 000, Maison de plain-pied à vendre,119 - 119A Rue Blainville O. Sainte-Thérèse,1,3,1,Nouveauté sur le marché,13257835,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/119-119a-rue-blainville-o-ste-therese-13257835.rmx
359 900, Maison à étages à vendre,140 Rue de la Tasserie Varennes,1,4,1,Nouveauté sur le marché,16901683,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/140-rue-de-la-tasserie-varennes-16901683.rmx
449 000, Appartement à vendre,1844 Rue des Carrières  app.201 Rosemont/La Petite-Patrie (La Petite-Patrie),2,3,0,Nouveauté sur le marché,16437299,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/1844-rue-des-carrieres-rosemont-la-petite-patrie-la-petite-patrie-16437299.rmx
269 000, Maison à étages à vendre,19 Rue Canac-Marquis Sainte-Claire,2,3,0,Nouveauté sur le marché,27571997,https://www.remax-quebec.com//fr/maison-a-vendre-chaudiere-appalaches/19-rue-canac-marquis-ste-claire-27571997.rmx
167 500, Appartement à vendre,245 Mtée Gagnon  app.A Bois-des-Filion,1,2,0,Nouveauté sur le marché,28030593,https://www.remax-quebec.com//fr/condo-a-vendre-laval-rive-nord/245-mtee-gagnon-bois-des-filion-28030593.rmx
129 000, Maison à un étage et demi à vendre,39 9e Rue N. Thetford Mines,1,4,1,Nouveauté sur le marché,22899736,https://www.remax-quebec.com//fr/maison-a-vendre-chaudiere-appalaches/39-9e-rue-n-thetford-mines-22899736.rmx
1 600 par mois, Appartement à louer,4191 Boul. du Souvenir  app.101 Chomedey (Laval),1,3,0,Nouveauté sur le marché,13449458,https://www.remax-quebec.com//fr/condo-a-louer-laval-rive-nord/4191-boul-du-souvenir-chomedey-13449458.rmx
144 500, Maison de plain-pied à vendre,1174 Rue St-Joseph Tingwick,2,3,0,Nouveauté sur le marché,27938220,https://www.remax-quebec.com//fr/maison-a-vendre-centre-du-quebec/1174-rue-st-joseph-tingwick-27938220.rmx
199 900, Maison de plain-pied à vendre,154 Rue de Dublin Charlesbourg (Notre-Dame-des-Laurentides),2,4,0,Nouveauté sur le marché,13062801,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/154-rue-de-dublin-charlesbourg-notre-dame-des-laurentides-13062801.rmx
269 000, Maison à paliers multiples à vendre,616 Rue Hector-Fabre Desjardins (Lévis) (Lévis),2,3,1,Nouveauté sur le marché,17780160,https://www.remax-quebec.com//fr/maison-a-vendre-chaudiere-appalaches/616-rue-hector-fabre-desjardins-levis-levis-17780160.rmx
189 900, Maison à étages à vendre,445 Rue Centrale Sainte-Catherine,1,3,0,Nouveauté sur le marché,23743003,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/445-rue-centrale-ste-catherine-23743003.rmx
332 260 +TPS/TVQ, Appartement à vendre,9 Av. Viger E.  app.809 Ville-Marie (Central),1,1,0,Nouveauté sur le marché,17936985,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/9-av-viger-e-ville-marie-central-17936985.rmx
139 000, Appartement à vendre,1552A Rue Baxter LaSalle,1,1,0,Nouveauté sur le marché,17851999,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/1552a-rue-baxter-lasalle-17851999.rmx
259 000, Appartement à vendre,987 Rue Roger-Doucet Boucherville,1,2,1,Nouveauté sur le marché,11536940,https://www.remax-quebec.com//fr/condo-a-vendre/987-rue-roger-doucet-boucherville-11536940.rmx
289 900, Maison de plain-pied à vendre,1402 Rue Boissonneault Mascouche,2,4,0,Nouveauté sur le marché,14277843,https://www.remax-quebec.com//fr/maison-a-vendre-lanaudiere/1402-rue-boissonneault-mascouche-14277843.rmx
228 000, Maison de plain-pied à vendre,2596 Rue Normand Fleurimont (Sherbrooke),1,4,1,Nouveauté sur le marché,22143579,https://www.remax-quebec.com//fr/maison-a-vendre-estrie/2596-rue-normand-fleurimont-sherbrooke-22143579.rmx
199 900, Maison à un étage et demi à vendre,14 Av. Normand Châteauguay,1,3,0,Nouveauté sur le marché,11683745,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/14-av-normand-chateauguay-11683745.rmx
259 900, Maison de plain-pied à vendre,1860 Rue de l'École Sainte-Catherine,2,11,1,Nouveauté sur le marché,20326553,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/1860-rue-de-l-ecole-ste-catherine-20326553.rmx
349 000, Maison de plain-pied à vendre,129 Av. Dussault Laval des Rapides,1,4,1,Nouveauté sur le marché,19482205,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/129-av-dussault-laval-des-rapides-19482205.rmx
142 000, Maison de plain-pied à vendre,19 Rue du Bocage Sorel-Tracy (Tracy),2,3,0,Nouveauté sur le marché,27824332,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/19-rue-du-bocage-sorel-tracy-tracy-27824332.rmx
139 900, Appartement à vendre,172 Rue Lamarche  app.304 Gatineau,1,2,0,Nouveauté sur le marché,25799166,https://www.remax-quebec.com//fr/condo-a-vendre/172-rue-lamarche-gatineau-25799166.rmx
399 000, Maison de plain-pied à vendre,1010 Rue Dolbeau Saint-Bruno-de-Montarville,1,4,1,Nouveauté sur le marché,26743976,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/1010-rue-dolbeau-st-bruno-de-montarville-26743976.rmx
189 900, Appartement à vendre,920 Rue du Massif Neufchâtel-Est/Lebourgneuf,1,2,0,Nouveauté sur le marché,10111124,https://www.remax-quebec.com//fr/condo-a-vendre-region-de-quebec/920-rue-du-massif-neufchatel-10111124.rmx
289 900, Maison de plain-pied à vendre,316 12e Avenue Saint-Zotique,2,5,0,Nouveauté sur le marché,15901675,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/316-12e-avenue-st-zotique-15901675.rmx
399 900, Maison de plain-pied à vendre,4480 Boul. Jacques-Bizard Pierrefonds,1,3,0,Nouveauté sur le marché,25339479,https://www.remax-quebec.com//fr/maison-a-vendre-montreal/4480-boul-jacques-bizard-pierrefonds-25339479.rmx
205 000, Maison de plain-pied à vendre,1967 Boul. de Portland Jacques-Cartier (Sherbrooke),2,3,0,Nouveauté sur le marché,28936649,https://www.remax-quebec.com//fr/maison-a-vendre-estrie/1967-boul-de-portland-jacques-cartier-sherbrooke-28936649.rmx
409 000, Maison de plain-pied à vendre,3191 Rue Laurin Sainte-Marthe-sur-le-Lac,2,3,0,Nouveauté sur le marché,26762280,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/3191-rue-laurin-ste-marthe-sur-le-lac-26762280.rmx
229 900, Maison à étages à vendre,1898 Rue Alfred-Cloutier La Haute-Saint-Charles (Saint-Émile),1,3,1,Nouveauté sur le marché,23589561,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/1898-rue-alfred-cloutier-la-haute-st-charles-st-emile-23589561.rmx
309 000, Maison de plain-pied à vendre,2850 Av. Georges-V Montréal-Est,2,2,0,Nouveauté sur le marché,23899282,https://www.remax-quebec.com//fr/maison-a-vendre-montreal/2850-av-georges-v-montreal-est-23899282.rmx
209 000, Maison à étages à vendre,3 Rue des Hémérocalles Sainte-Brigitte-de-Laval,1,3,1,Nouveauté sur le marché,17767582,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/3-rue-des-hemerocalles-ste-brigitte-de-laval-17767582.rmx
259 000, Appartement à vendre,2020 Av. Lamothe  app.101 Saint-Hyacinthe (Bourg-Joli/Bois-Joli),1,1,1,Nouveauté sur le marché,14823466,https://www.remax-quebec.com//fr/condo-a-vendre/2020-av-lamothe-st-hyacinthe-bourg-joli-bois-joli-14823466.rmx
238 000, Maison de plain-pied à vendre,540 Av. de la Caravane Charlesbourg Est,1,2,0,Nouveauté sur le marché,15146369,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/540-av-de-la-caravane-charlesbourg-est-15146369.rmx
279 000, Maison à paliers multiples à vendre,13 Av. Boisvert Baie-Comeau (Marquette),2,4,0,Nouveauté sur le marché,14931058,https://www.remax-quebec.com//fr/maison-a-vendre-cote-nord/13-av-boisvert-baie-comeau-marquette-14931058.rmx
279 000, Maison à étages à vendre,1820 Rue de Chambord Fleurimont (Sherbrooke),3,5,0,Nouveauté sur le marché,11765416,https://www.remax-quebec.com//fr/maison-a-vendre-estrie/1820-rue-de-chambord-fleurimont-sherbrooke-11765416.rmx
196 000, Appartement à vendre,350 Rue Sylvio-Mantha  app.1 Vaudreuil-Dorion,1,2,0,Nouveauté sur le marché,12444411,https://www.remax-quebec.com//fr/condo-a-vendre/350-rue-sylvio-mantha-vaudreuil-dorion-12444411.rmx
439 900, Appartement à vendre,3641 Av. Jean-Béraud  app.809 Chomedey (Laval),1,2,1,Nouveauté sur le marché,13116583,https://www.remax-quebec.com//fr/condo-a-vendre-laval-rive-nord/3641-av-jean-beraud-chomedey-13116583.rmx
719 000, Maison de plain-pied à vendre,2100 Ch. de Georgeville  app.107 Magog,2,3,1,Nouveauté sur le marché,16342173,https://www.remax-quebec.com//fr/maison-a-vendre-estrie/2100-ch-de-georgeville-magog-16342173.rmx
224 900, Appartement à vendre,380 10e Avenue  app.501 Lachine,1,2,0,Nouveauté sur le marché,17609391,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/380-10e-avenue-lachine-17609391.rmx
549 900, Maison à paliers multiples à vendre,795 Crois. Verneau Sainte-Dorothée (Laval),2,5,1,Nouveauté sur le marché,18286370,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/795-crois-verneau-st-dorothee-18286370.rmx
359 900, Maison à étages à vendre,270 Rue St-Jacques Mont-Saint-Hilaire,2,3,1,Nouveauté sur le marché,19314009,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/270-rue-st-jacques-mont-st-hilaire-19314009.rmx
995 000, Maison à étages à vendre,355 Av. du Maire La Prairie,3,5,2,Nouveauté sur le marché,19621751,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/355-av-du-maire-la-prairie-19621751.rmx
194 900, Maison à étages à vendre,1401 Rue des Bégonias La Plaine,1,5,1,Nouveauté sur le marché,20522439,https://www.remax-quebec.com//fr/maison-a-vendre-lanaudiere/1401-rue-des-begonias-la-plaine-20522439.rmx
219 900, Appartement à vendre,2301 Boul. René-Laennec Vimont (Laval),1,2,0,Nouveauté sur le marché,21198087,https://www.remax-quebec.com//fr/condo-a-vendre-laval-rive-nord/2301-boul-rene-laennec-vimont-21198087.rmx
370 000, Maison à étages à vendre,25 Rue des Lys La Prairie,1,4,1,Nouveauté sur le marché,22354343,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/25-rue-des-lys-la-prairie-22354343.rmx
525 000, Maison à étages à vendre,15 Av. de Chantilly Estérel,2,3,1,Nouveauté sur le marché,22587257,https://www.remax-quebec.com//fr/maison-a-vendre-laurentides/15-av-de-chantilly-esterel-22587257.rmx
198 000, Appartement à vendre,40 Boul. J.-S.-Archambault  app.102 Terrebonne,1,2,0,Nouveauté sur le marché,23676194,https://www.remax-quebec.com//fr/condo-a-vendre/40-boul-j-s-archambault-terrebonne-23676194.rmx
144 000, Appartement à vendre,5990 Rue Hochelaga  app.002 Mercier/Hochelaga-Maisonneuve (Mercier),1,1,0,Nouveauté sur le marché,23966547,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/5990-rue-hochelaga-mercier-23966547.rmx
189 000, Maison à étages à vendre,653 Rue R.-H.-Lalonde Gatineau,1,4,1,Nouveauté sur le marché,25803615,https://www.remax-quebec.com//fr/maison-a-vendre-outaouais/653-rue-r-h-lalonde-gatineau-25803615.rmx
1 750 par mois, Appartement à louer,4465 Av. Henri-Julien Plateau Mont-Royal,1,2,0,Nouveauté sur le marché,13943965,https://www.remax-quebec.com//fr/condo-a-louer-montreal/4465-av-henri-julien-plateau-mont-royal-13943965.rmx
139 000, Appartement à vendre,1139 Rue de l'Aigue-Marine Charlesbourg Est,1,1,0,Nouveauté sur le marché,10267347,https://www.remax-quebec.com//fr/condo-a-vendre-region-de-quebec/1139-rue-de-l-aigue-marine-charlesbourg-est-10267347.rmx
349 000, Maison de plain-pied à vendre,760 Rue de la Rivière-aux-Pins Boucherville,1,3,1,Nouveauté sur le marché,27034693,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/760-rue-de-la-riviere-aux-pins-boucherville-27034693.rmx
519 900, Maison de plain-pied à vendre,28 Rue de St-Auban Côte Azur,3,4,1,Nouveauté sur le marché,22435949,https://www.remax-quebec.com//fr/maison-a-vendre-outaouais/28-rue-de-st-auban-cote-azur-22435949.rmx
224 900, Appartement à vendre,1000 Rue du Violoneux  app.104 Bromont,1,2,0,Nouveauté sur le marché,11487360,https://www.remax-quebec.com//fr/condo-a-vendre/1000-rue-du-violoneux-bromont-11487360.rmx
424 900, Maison de plain-pied à vendre,2528 Rue Bayeux Mascouche,2,3,0,Nouveauté sur le marché,13594545,https://www.remax-quebec.com//fr/maison-a-vendre-lanaudiere/2528-rue-bayeux-mascouche-13594545.rmx
599 000, Appartement à vendre,705 Rue William  app.1102 Ville-Marie (La Cité du Multimédia),1,1,1,Nouveauté sur le marché,15643503,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/705-rue-william-ville-marie-la-cite-du-multimedia-15643503.rmx
294 888, Maison à étages à vendre,1161 Rue de Neuville Masson-Angers (Gatineau)  Angers,1,5,2,Nouveauté sur le marché,20905074,https://www.remax-quebec.com//fr/maison-a-vendre-outaouais/1161-rue-de-neuville-masson-angers-gatineau-angers-20905074.rmx
325 000, Appartement à vendre,4785 Rue Messier  app.101 Plateau Mont-Royal,1,2,0,Nouveauté sur le marché,17039657,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/4785-rue-messier-plateau-mont-royal-17039657.rmx
234 900, Maison de plain-pied à vendre,180 Rue Trudel Buckingham,2,3,0,Nouveauté sur le marché,25337272,https://www.remax-quebec.com//fr/maison-a-vendre-outaouais/180-rue-trudel-buckingham-25337272.rmx
249 900, Maison à étages à vendre,10 Rue Idola-St-Jean Gatineau,1,2,0,Nouveauté sur le marché,16404306,https://www.remax-quebec.com//fr/maison-a-vendre-outaouais/10-rue-idola-st-jean-gatineau-16404306.rmx
349 000, Maison à étages à vendre,19 Rue Lauréat-L'Heureux Beauport (Laurentides),1,3,2,Nouveauté sur le marché,14297483,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/19-rue-laureat-l-heureux-beauport-laurentides-14297483.rmx
319 900, Maison de plain-pied à vendre,27 Rue De Vaudreuil Blainville,2,3,0,Nouveauté sur le marché,27870240,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/27-rue-de-vaudreuil-blainville-27870240.rmx
324 000, Maison à paliers multiples à vendre,1372 Rue de la Marjolaine La Haute-Saint-Charles (Saint-Émile),2,3,0,Nouveauté sur le marché,26344652,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/1372-rue-de-la-marjolaine-la-haute-st-charles-st-emile-26344652.rmx
398 000, Maison de plain-pied à vendre,1810 Av. Brentwood Dorval,1,3,0,Nouveauté sur le marché,27886437,https://www.remax-quebec.com//fr/maison-a-vendre-montreal/1810-av-brentwood-dorval-27886437.rmx
214 000, Maison de plain-pied à vendre,928 Ch. des Martins-Pêcheurs Les Chutes-de-la-Chaudière-Ouest (Saint-Nicolas),1,2,0,Nouveauté sur le marché,13318980,https://www.remax-quebec.com//fr/maison-a-vendre-chaudiere-appalaches/928-ch-des-martins-pecheurs-st-nicolas-13318980.rmx
199 000, Maison à paliers multiples à vendre,3375 Rue de Bordeaux Trois-Rivières-Ouest,2,4,0,Nouveauté sur le marché,25549735,https://www.remax-quebec.com//fr/maison-a-vendre-mauricie/3375-rue-de-bordeaux-trois-rivieres-ouest-25549735.rmx
324 900, Maison de plain-pied à vendre,9 Rue de Bretagne Shannon,1,3,0,Nouveauté sur le marché,14169499,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/9-rue-de-bretagne-shannon-14169499.rmx
62 800, Maison à étages à vendre,35 Rue des Saules Notre-Dame-de-la-Salette,1,2,0,Nouveauté sur le marché,28276042,https://www.remax-quebec.com//fr/maison-a-vendre-outaouais/35-rue-des-saules-notre-dame-de-la-salette-28276042.rmx
159 900, Appartement à vendre,1207 Boul. Iberville  app.201 Repentigny,1,2,0,Nouveauté sur le marché,23299798,https://www.remax-quebec.com//fr/condo-a-vendre/1207-boul-iberville-repentigny-23299798.rmx
