Rent Price,Address,Location,Number of Bed,Number of Bath,Living Area (ft^2),Land Area (ft^2)
214 500,"594, Chemin no 8  Lac Clair",St-David-de-Falardeau,5,2+1,1218,10136
90 000,"4359, rue des Pionniers",Port-Cartier (Rivière-Pentecôte),5,2+1,1218,9080
419 000,"1216, rue de Richmond",Granby,3,2,1064,32857
409 000,"43, rue de l'Île",St-Ferréol-les-Neiges,4,2+1,2472,10000
315 000,"5125, rue Isabelle",Longueuil (St-Hubert),4,1+1,2472,6447
172 000,"70, chemin du Petit-Lac-Clair",MRC de Mékinac,2,01,780,43593
329 900,"12775, rue Louis-Hémon",Mirabel (St-Janvier),3,2+1,1156,8663
414 900,"505, rue Chabanel",Chicoutimi (Chicoutimi),4,2,2024,12415
179 000,"160, rue du Pacifique - Par Groupe Schinck",Cowansville,2,1,1093,3700
375 000,"133, rue Plessis - Par Construction Serge Brouillette",Drummondville (Drummondville),4,2,2500,6300
224 900,"1110, rue de la Création - District 55 - Par Les habitations Paris et Frères",Trois-Rivières (Trois-Rivières-Ouest),2,1,1560,4830
260 000,"1263, rue Gaboury",Val-Bélair,3,2+1,1098,2499
215 000,"2274, rue de la Sultane",Neufchatel,3,1+1,1920,5000
64 000,"1493, boulevard Radieux",Ste-Adèle,3,1+1,1920,44003
180 000,158-160 rue de la Mer,Baie-des-Sables,3,1,1920,6756
159 500,"995, rue Principale",Roxton Pond,2,1,985,95623
269 000,"7, route Proulx",Deschambault,3,1,1200,15000
220 000,"2783, chemin Saint-Louis",La Baie,3,1,1200,29367
249 500,"1395, rue des Capucines",La Conception,3,1,935,33643
185 000,"114, rue Poulin",St-Ferréol-les-Neiges,3,1,935,9272
168 500,"322, rang Sainte-Anne Est",Ste-Euphemie-Sur-Riviere-Du-Sud,2,1+1,926,17265
140 000,"38, rue Saint-Camille",Price,4,1+1,926,23840
234 900,"299, rue Davidson Ouest",Gatineau (Gatineau),3,2,1400,4084
169 000,"356, chemin du Moulin",Labelle,3,2,1080,10650
340 000,"152, rue des Optimistes",Amqui,5,33,1965,10908
290 000,39-40-41-42 avenue Saint-Grégoire,Beauport,8,4,740,5776
120 000,"115, rue Marie-Rose",La Malbaie (Cap-À-L'Aigle),8,4,740,66884
329 000,"11, rue Hebert",Mercier,4,2,1218,11760
229 900,"526, 4e Avenue",Deux-Montagnes,3,1,816,5600
834 900,"7, chemin Fraser",Gatineau (Aylmer),3,2,2250,14166
415 000,173-173A chemin du Fleuve,Coteau-Du-Lac,8,2,2100,22981
334 000,"2889, rue Mychline",Ste-Marthe-Sur-Le-Lac,5,2,1087,5426
175 000,"505, rang Saint-Ovide",Ste-Sophie-De-Levrard,4,1,1781,33750
79 900,"16, route C900",Sacré-Coeur-du-Saguenay,2,1,512,3500
725 000,"222, rue du Dauphiné",St-Lambert,4,2+1,2100,6042
347 500,"1164-1166, avenue Rabelais",Charlesbourg,4,1,2100,15894
325 000,"586, chemin du Golf",Chicoutimi (Chicoutimi),4,1+1,1500,9914
279 900,"731, chemin du Lac-Goulet",St-Mathieu-Du-Parc,3,1,1508,12578
228 000,,Breakeyville,3,1+1,675,4989
364 500,"2565, boulevard Ivanier",Marieville,4,1+1,1392,5005
280 000,"145, rue des Français",St-Alphonse-Rodriguez,4,1,1705,20815
990 000,"17200, chemin Saint-Roch",Sorel-Tracy,4,2,1705,46872
480 000,"996, chemin Maskinongé",Boileau,4,2,2368,81194
524 900,"433, rue de la Seigneurie",St-Jérôme (Bellefeuille),4,2+1,2450,10400
359 000,"224, rue Neil",Granby,3,2,1576,30913
475 000,"158, montée de l'Église",St-Colomban,6,1+1,3000,24000
289 000,"274, rue Jean-XXIII",Beauport,3,2,1001,5489
154 000,"1244, avenue Cécile",St-Cesaire,3,1,1108,14573
235 000,"10, rue du Docteur-Boisvert",St-Basile-Le-Grand,3,1,1040,3017
329 500,"170, rue des Remous",Ste-Brigitte-De-Laval,2,1,948,31084
224 000,"1760, route de Chute-Panet",St-Raymond,3,1,1058,900000
179 000,"33, rue des Tulipes",Ste-Anne-de-Beaupré,3,1,1401,10626
489 000,"140, chemin Bacchus",Ile d'Orléans (St-Jean),3,2+1,1973,30246
249 900,"58, avenue des Lys",Blainville,3,2,1973,2216
420 000,"3781, rang Saint-Pierre",St-Félix-De-Valois,3,2+1,2400,53819
190 000,"265, rue des Lilas",St-Narcisse,3,2,2400,10199
199 900,"D-1095, rue de la Prairie",St-Jean-Chrysostome,3,1+1,883,930
259 500,"1881, chemin Sainte-Marie",Lac-Aux-Sables,2,1,2100,32408
350 000,"19, rue de l'Acropole",Gatineau (Aylmer),4,2+2,1100,30000
294 900,"32, rue Ferland Sud",L'Ange-Gardien,3,1,912,46575
269 000,"16, chemin de la Belle-Vue",Lac-Superieur,3,1+1,1344,20000
239 900,"55, rue des Cygnes",Granby,4,1,1150,20879
165 000,"107, rue des Ancêtres",St-Raymond,2,1+1,659,5003
232 000,"390, chemin Bellevue Est",Cap-St-Ignace,3,2,993,55000
290 000,"2057, rue J.-S.-Brulé",St-Maurice,3,2,1344,48448
194 500,"354, rue des Pivoines",Cowansville,3,1+1,1475,4738
72 500,"44, chemin de l'Amitié",St-Elzéar-de-Beauce,3,1+1,1475,57755
344 000,"14, chemin Pelletier",Ripon,2,1,1440,46006
269 000,"2047, rue Dubuisson",Jonquière (Arvida),4,2+1,1600,7822
416 500,"491, rue Honoré-Mercier",Chicoutimi (Chicoutimi),4,2+1,2126,13000
293 000,"141, Rue François de Laval",St-Étienne-De-Lauzon,3,1,1160,5832
318 000,"104, chemin Thibault",Orford,3,1,1364,25000
965 000,"10, chemin des Glacis",Lac-Beauport,3,2+1,2300,54000
178 500,"1578, chemin du Plateau",St-Adolphe-D'Howard,2,1,1222,13000
308 000,"15355, rue des Pruches",Mirabel (St-Augustin),5,2,1222,7000
345 000,"247, rue Jean-Charles Michaud",St-Basile-Le-Grand,5,2,1200,6696
590 000,"4626, boulevard Allard",Drummondville (St-Nicéphore),3,2,1868,13942
439 000,"3376, rue Biard",Ste-Foy,4,2+1,1710,13139
289 000,"434, rue Jeanne-Badeau",Beauport,4,2,1024,6600
295 000,"44, rue de l'Ancolie",Pont-Rouge,3,2,1258,8777
324 900,"295, rang de Michaudville",St-Barnabe-Sud,3,1+1,1828,16931
245 000,"585, chemin Beauséjour",Alma,3,2,1412,23012
255 000,"4389, boulevard Cléroux",Chomedey,2,1+2,1100,3000
334 500,"888, rue Louis-Hébert",Longueuil (Vieux-Longueuil),4,1,1015,4929
975 000,"336, chemin Valiquette",Kiamika,5,4,3209,8799120
409 000,"129, avenue du Sablon",Bois-Des-Filion,3,1+1,1846,6700
299 000,rang Sainte-Catherine,Les Éboulements,3,1+1,1846,822400
284 900,"123, rue de la Spartan",Gatineau (Aylmer),3,2+1,1360,3106
339 000,"37, route 214",Bury,2,1,816,1453127
42 900,"X, rue Jean Nord",Rivière-Trois-Pistoles,2,1,816,21861
429 900,"4470, rue de la Promenade",St-Antoine-De-Tilly,3,1+1,2310,21889
150 000,"129-131, rue Pagé",St-Basile-De-Portneuf,2,1+1,1392,4279
225 900,"2465, Boulevard Hamelin -  Modèle Castello",Trois-Rivières (Trois-Rivières),4,1+1,1708,4538
294 000,,Ste-Foy,4,2+1,2228,9644
123 000,"14, chemin des Sables",Hébertville,2,1,793,43055
220 000,"866, côte de l'Église",St-Antoine-De-Tilly,2,1,793,7100
220 000,,Ste-Foy,6,2,828,6444
340 000,"102-4380, rue du Catamaran",Fabreville,2,1,1210,15715
219 000,"19, rue Couture",St-Joseph-De-Coleraine,5,1+1,2464,8260
319 000,"435, rue Sainte-Marie",Lanoraie-D'Autray,3,1+1,1746,8151
248 000,"2330, rue Saint-Pierre",Drummondville (Drummondville),4,2,1295,9160
575 000,"2122, chemin de Villebois",Alma,4,2+1,2560,37000
369 000,"1766, rue du Vignoble",Charlesbourg,3,1+1,1297,9000
"0,28","1 à 29, rang St-Jérôme",St-Urbain,3,1+1,1297,43163
319 000,"313, rue Arthur-Villeneuve",Ste-Rose,4,1+1,1297,1812
164 500,"44, chemin Michauville",Val-Des-Lacs,3,1,864,11408
419 000,"48, rue du Grand-Pic",St-Hippolyte,4,2+1,2200,54866
8 400,"X, route 285",St-Marcel,4,2+1,2200,22604
795 000,"160, rue de Drummond",Bromont,5,3+1,2580,24769
265 000,"1005, rue Coutu",Repentigny (Repentigny),3,1,1200,5000
409 000,"1416, chemin Tour du Lac",Lac-Simon,3,1+1,1615,8600
324 900,"107, chemin Guenette",Val-Des-Bois,4,3,2240,32000
275 000,"2605, rue des Secrétaires",Sherbrooke (Fleurimont),4,1+1,1356,14972
102 000,"1000, rue de l'Esplanade",Val-Bélair,4,1+1,1356,5005
369 900,"1052, boulevard N.-P Lapierre",Ste-Julie,4,2+1,1426,5807
309 999,"360, rue Cartier",Granby,5,1+2,2140,10400
46 183,"., Rue des Commissaires",St-Gilles,5,1+2,2140,7105
331 900,"3900, rue Barette",Trois-Rivières (Trois-Rivières-Ouest),5,1+1,2140,6555
192 000,"8107, rue de Châteauvert",Trois-Rivières (Trois-Rivières),2,1+1,1440,14032
289 000,"13716, rue Sauriol",Mirabel (St-Janvier),3,1+1,858,8086
273 000,"3060, 128e Rue",St-Georges,3,1,1635,9356
319 000,"4, rue Verseau",Mandeville,3,2,1800,66000
214 500,"660, rue d'Éverell",Beauport,2,1,1150,12900
89 000,"130, rue de l'Écubier",St-André-D'Argenteuil,3,1,967,10507
250 000,"304-1400, rue Principale",St-Zotique,2,1,1114,2483
150 000,"1, chemin de Saint-Robert",St-Robert,2,1,1114,1104054
795 000,"450, chemin du Mont-Shefford",Shefford,3,2+2,2665,653400
290 000,"1-2-524, rue du Progrès",Gatineau (Masson-Angers),6,2,2665,5143
148 000,"432, 4e Rue",Daveluyville,03,1+1,1260,7999
300 000,"1529, boulevard des Seigneurs",Terrebonne (Terrebonne),4,2,812,4500
749 000,"128, route Pouliot",St-Christophe-D'Arthabaska,4,2+1,3035,70279
110 000,"1, rue Saint-Antoine",Ste-Brigitte-De-Laval,4,2+1,3035,204500
410 000,"256, rue des Inuits",Charlesbourg (ND-Des-Laurentides),5,3+1,1829,6473
479 000,"68, chemin des Cèdres",Ste-Anne-Des-Lacs,3,2,1829,24832
293 000,"3, rue du Petit-Bois",Loretteville,3,2,1829,7500
225 000,"215, chemin Monette",Lac-Cayamant,6,1,2320,64909
179 500,"B-510, avenue Belzile",Rimouski (Rimouski),3,1+1,1227,8471
215 000,"4295, rue Paquin",Shawinigan (Shawinigan-Sud),2,1,1227,29000
325 000,"199, rue J.-E-Jeannotte",Les Côteaux,3,1+1,1097,8469
270 000,"27-29, rue Boyer",Beauharnois (Beauharnois),2,1,1097,5488
430 000,"3273, rue Saint-Paul",Repentigny (Le Gardeur),3,3+2,2595,31460
415 000,"259, rue des Véroniques",St-Nicolas,3,1+1,1728,6496
525 000,"4412, avenue Charlemagne",Rosemont / La Petite Patrie,4,1+1,1415,1241
283 710,"4134, rue du Curé-Landry",Rawdon,4,2+1,1344,16000
349 995,"13, rue des Sous-Bois",Ste-Catherine-de-la-JC,4,2,1152,49823
234 800,"216, chemin du Lac-Saint-François",St-Hubert-De-Rivière-Du-Loup,2,1,1092,47000
338 000,"1310, rue Larivée",Drummondville (Drummondville),4,2+1,2184,7869
175 000,16-20-24 rue de la Montagne,Rivière-Rouge,7,3,2184,8118
725 000,"805, rue de l'Escale",Havre-St-Pierre,24,3,2184,2642800
259 500,"1310, rue de Saint-Denis",St-Rédempteur,5,2,1408,3600
444 000,"107, chemin Larochelle",Racine,4,1+1,2116,29294
199 000,"2205, chemin de la Réserve",Chicoutimi (Chicoutimi),3,1+1,2116,5281
205 000,"6518, boulevard de l'Ormière",Duberger,2,1+1,1263,1908
406 700,"3560, rue des Lotus",Marieville,4,1+1,1648,5100
109 000,"7128, Île Ouellet",St-Raymond,4,1+1,1648,43077
240 000,"3285, rue des Oeillets",Jonquière (Arvida),4,2,1072,6698
250 000,"89, rue Girard",Ste-Angèle-De-Monnoir,3,2,1224,11200
250 000,,St-Lazare,5,3+1,2797,20530
318 000,"5796, rue de la Frontière",Sherbrooke (Rock Forest),3,2,1324,8999
499 000,"1170, chemin du Progrès",Chute-St-Philippe,3,2+1,1324,77070
135 000,"3819, rue Saint-Clément",Jonquière (Jonquière),2,1,1100,6750
49 000,Domaine du Lac Georges,ND-De-Montauban,3,1,1175,44000
159 900,"1012, chemin des Oies-Blanches",Mont-Laurier,2,1,640,11295
225 000,"266, rue Beauchemin",Sorel-Tracy,6,3,1200,6300
451 900,"625, avenue des Nymphes",Magog,3,3,1765,15004
75 000,"115, rang de la Rivière-aux-Écorces",St-Alexis-Des-Monts,1,1,1765,175915
257 900,"1800, rue Raoul-Jobin",St-Jérôme (St-Jérôme),3,2,1206,5813
185 000,"62, rue Ginette-Genois",Victoriaville,3,2,884,5076
110 900,"43, chemin Lagarde",Lac-Ste-Marie,1,1,396,43560
174 500,"115, rue Saint-Pierre",East Angus,3,2,1100,6500
269 900,"801, Route 321",Papineauville,3,1,1800,108900
1 200 000,"375, rue Dessureault",Trois-Rivières (Cap-De-La-Madeleine),3,1,1800,118608
360 000,"1569, rue Monseigneur Taché",Sillery,2,1+1,927,7448
367 000,"5122, rue Cornwall",Longueuil (St-Hubert),4,2+1,1276,3952
249 000,"4473, chemin Saint-Louis",La Baie,6,1,828,31349
348 000,"2432, rue Harriet-Quimby",Saint-Laurent,2,1+1,1064,7020
240 000,"4041, rue Chardin",Jonquière (Jonquière),2,2+1,1280,7831
279 000,"77, chemin de la plage",Aumond,3,1+1,2240,19794
160 000,"x, chemin des Pointes",St-Urbain,2,1,816,70000
463 000,"6338, 13e Avenue",Rosemont / La Petite Patrie,2,1,1000,2250
632 000,"555, chemin du Lac-Provost Nord",St-Donat,3,2,1450,69255
309 900,"1116, rue Henri-Laflamme",St-Jean-sur-Richelieu (Iberville),3,1+1,1450,6919
319 000,"G-165, rue du Coutelier",St-Augustin-De-Desmaures,3,1+1,1560,5560
219 000,"1880, rue Gabriel",Chicoutimi (Chicoutimi),3,2,864,4777
60 000,Lot 1 Chemin Lac aux Sources,Rawdon,3,2,864,94000
370 000,"450, boulevard de Melocheville",Beauharnois (Melocheville),3,2+1,1600,13050
388 000,"2599, chemin des Parulines",ND-De-La-Merci,2,1+1,884,48517
109 000,"279, 4e Avenue",St-Paul-De-Montminy,2,1,884,5719
367 000,"3610, rue de l'Aurore",Jonquière (Lac-Kénogami),4,2+1,1368,29000
72 000,"19, chemins des Érables",Desbiens,2,1,541,4260
334 000,"2666, rue Saint-Hubert",Jonquière (Jonquière),4,2,1064,18320
359 900,"39, rue Descôteaux",Drummondville (St-Joachim-De-Courval),4,1+2,1644,44387
343 000,"344, rue Seigniory",Mont-St-Hilaire,3,2+1,928,13706
34 500,", chemin Saint-André",Jonquière (Jonquière),2,1,1072,100836
168 000,"29, rue Pierce",Stanstead,4,1+1,1477,27523
180 000,,St-Colomban,2,1,1477,5681
216 000,"260, rue Paul-Gagné",Sherbrooke (Fleurimont),3,2,1477,4480
139 000,"20, chemin du Lac-Morency",St-Hippolyte,2,1+1,1400,57652
379 000,369-371 rue du Cardinal-Taschereau,Saint-Sauveur,9,3,1400,225
424 900,"43, chemin de Marseille",Val-Des-Monts (Perkins),3,1+1,2108,49395
374 000,"840, chemin Sainte-Odile",Rimouski (Ste-Odile-Sur-Rimouski),3,1+1,2111,91249
189 000,"X, Chemin du Lac-Saint-Louis Est",St-Zénon,4,2,1800,9000
450 000,"911, rue Western",Waterloo,5,3+1,4160,35738
319 900,"1122, rue la Barre",Ste-Foy,4,1,1020,5400
479 000,"1243, rue de la Misaine",St-Nicolas,3,1+1,1680,9030
99 500,"2845, chemin d'Oka",Ste-Marthe-Sur-Le-Lac,1,1,725,5118
225 000,"195, rue Champoux",Trois-Rivières (Cap-De-La-Madeleine),3,2,1156,6277
320 000,"61, route Doctor-Henry",Arundel,3,2,1156,534460
397 000,407-409 rue Charles-Péguy Est,La Prairie,7,3,1286,5356
390 000,"26, rue Louis-Thomas-Groulx",St-Charles-Borromée,3,1+1,1286,18300
211 000,"103, rue de la Mère-Simon",Victoriaville,3,2,1109,6946
194 000,"50, chemin Laprise",Weedon,2,1,1130,19300
257 000,"354, route Principale",Bégin,5,1+1,1120,50000
415 000,"9950, rue Albert-Gingras",Mirabel (St-Canut),6,3,1120,7750
135 900,"144, rue Principale",Fassett,2,1+1,624,4000
112 000,"5, chemin du Lac",St-Juste-Du-Lac,2,1+1,624,56216
289 100,"11, chemin de la Falaise",St-Jean-De-Matha,2,1+1,1995,36433
339 900,"6240, rue du Cabernet-Sauvignon",St-Émile,4,1+1,1368,5198
244 000,"1210, rue des Sarcelles",Sherbrooke (St-Élie-d'Orford),4,2,910,50100
195 990,"6, rue Turcot",Beauport,2,2,850,6417
314 500,"3280, rue Jeanson",Sherbrooke (Rock Forest),4,2,1216,11674
87 000,", chemin du Rivage",Isle-Aux-Grues,4,2,1216,43153
165 000,"1220, chemin Rondeau",St-Michel-Des-Saints,3,1+1,729,70060
225 000,"3715, rue Albert",Rawdon,4,2,2022,15000
249 900,"585, rue de la Vallée-du-Golf",Ste-Adèle,5,2+1,2492,11653
575 000,"1059, rue Gilles-Hocquart",Boucherville,4,2+1,2296,5812
249 000,"180, rue Latour",St-Jérôme (St-Jérôme),4,3+1,2296,4000
288 000,"111, avenue des Champignons",Gatineau (Aylmer),3,2,1040,6240
249 900,"1137, rue Craig",Sherbrooke (Mont-Bellevue),5,1+1,1040,7500
167 500,"1752, rue du Lac-Louise",Ste-Julienne,3,2,1248,24522
309 950,"871, place André-Marcoux",Valcourt,5,2,1396,12257
249 000,"79, rue des Étudiants",Ste-Catherine-de-la-JC,4,1+1,1248,9324
154 995,"16505, 6e Avenue",St-Georges,4,2,1040,9000
610 000,1171-1173 rue Rolland,Verdun,3,1+1,1040,2520
110 000,"156, rue Désiré",Victoriaville,3,1+1,1108,5000
205 000,"778, rue la Salle",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),3,2,1120,4709
299 000,"14, rue McDiarmid",Mercier,3,2+2,992,5002
270 000,"3380, rue Charlotte",Fabreville,2,1,888,4736
220 900,"6311, rue Florent",Sherbrooke (Rock Forest),3,2+1,1470,3853
350 000,"397, rue Principale",St-Basile-Le-Grand,5,2,1000,8022
225 000,"866, rue Émile-Nelligan",Roberval,3,1+1,1660,6018
560 000,"1700, rue Charrette",Duvernay,5,2+2,1881,6000
182 500,"394, rue Paré",St-Bruno-Lac-St-Jean,3,2,903,7703
515 000,"1770, rue du Portage",Ste-Dorothée,3,2+2,1832,9927
205 000,"1183, rue Duhaime",Chicoutimi (Chicoutimi),4,2,1832,6500
145 900,"256, rue de Salaberry",Joliette,2,1+1,800,6300
255 000,"1-10, Impasse de la Roseraie",Gatineau (Hull),3,2+2,1520,3420
319 000,"77, rue des Érables",Ste-Brigitte-De-Laval,3,1+1,1134,42944
385 000,"325, 6e Avenue",Laval-Des-Rapides,4,1+1,1053,5326
219 900,315-317 rue Victoria,Thurso,4,1+1,1053,7400
349 900,"63, rue du Pinot",Gatineau (Gatineau),4,2+1,1460,8325
200 000,"151, chemin du rang-C",St-Malo,2,1+1,1105,64701
945 000,"19, chemin Rivermead",Gatineau (Aylmer),5,3+1,3000,69774
264 500,"92, 35e Avenue",Ste-Marthe-Sur-Le-Lac,4,1+1,3000,5757
177 500,"120, chemin de la Rive",Rivière-Rouge (Marchand),2,1,576,44541
599 000,"37, rue Carmen",Granby,5,4+1,4090,38250
366 999,"3654, rue Charlotte-Boisjoli",Boisbriand,4,2,1174,6000
224 900,"50, rue Marchand",St-Apollinaire,3,1+1,1120,3750
254 900,"1071, rue de la Sarthe",St-Jean-Chrysostome,3,2+1,780,6450
475 000,"29, chemin du Moulin",Lac-Beauport,3,2,975,23627
449 000,"19, rue Mountain",Granby,5,3,4400,14350
445 000,"1275, terrasse Beaujeu",Longueuil (Vieux-Longueuil),4,3,1800,8064
339 000,"720, rue Sainte-Marie",Marieville,6,3,1800,10700
203 000,"1340, rue Saint-Arnaud",Shawinigan (Shawinigan-Sud),3,2,1112,13743
218 000,"203, Route 216",Stoke,5,2,1112,47042
449 000,"327, rue de la Cédrière",Boischatel,4,2+1,1800,6500
339 000,"239, rue de la Promenade",Val-D'Or,3,2,830,15000
191 500,"16, rue Iberville",Drummondville (St-Nicéphore),3,2,867,7912
289 900,"103-2000, rue de Chambly",St-Bruno-De-Montarville,2,1+1,1140,2364
639 000,"1530, route 161",Frontenac,3,2,2100,127000
309 900,"745, rue Camille",Fabreville,4,2,864,4500
254 900,"634, chemin du Simonet",Lac-Simon,3,1+1,1272,59510
229 500,"108, rue Marc-Aurèle-Fortin",Cowansville,3,1+1,1600,6947
189 700,"1651, 6e Avenue",La Baie,3,1+1,1872,5000
479 000,"3, rue Kay",ND-De-L'Ile-Perrot,4,1+1,1774,8492
339 900,"557, rue Fortier",Repentigny (Le Gardeur),3,2,924,7013
341 700,"141, rue des Marguerites",Les Cèdres,4,2,1162,9956
259 000,2281-2283-2283A,Jonquière (Jonquière),5,3+1,1162,10582
489 000,"1901, rue du Domaine",Wentworth-Nord,2,3,1767,43189
34 900,Chemin des Cerisiers,ND-Du-Laus,2,3,1767,43560
1 595 000,"590, chemin Marois",St-Denis-De-Brompton,4,2+1,4937,46282
325 000,"49, chemin de la Rivière au Saumon",Weedon,4,1+1,1175,2831400
275 000,"5270, boulevard des Mille-Iles",St-François,5,2,886,7502
244 900,"34, chemin Baribeau",St-Michel-Des-Saints,2,1,1008,5740
350 000,"320, rue Valmont",Repentigny (Repentigny),4,2,1300,5995
365 000,"650, boulevard de l'Anse",Roberval,2,2,1636,9487
419 900,"11720, boulevard Saint-Claude",Neufchatel,8,3,1636,18892
57 000,rue Mario,Waterloo,8,3,1636,5750
1 460 000,"252, route Saint-André",St-Étienne-De-Lauzon,4,13,2300,69986
325 000,"135, route Yamaska",St-Hugues,3,2,2300,13000
265 000,"1497, rue Jean-Giono",Boisbriand,3,1,870,8494
219 900,"253, avenue Caumartin",Boisbriand,3,1+1,543,3419
397 000,"4801, sentier du Phare",La Baie,3,1+1,1754,151258
259 000,"637, avenue de Grande-Île",Salaberry-De-Valleyfield,3,2,1391,9855
379 000,"2730, rue du Roussillon",Sherbrooke (Jacques-Cartier),4,2+1,1550,14165
25 000,"225, rang Sainte-Catherine",Les Éboulements,4,2+1,1550,24000
70 000,"rue des Glaciers, Côteau Mont St-Anne",Beaupré,4,2+1,1550,7104
318 000,"74, rue des Hirondelles",Shannon,3,1+1,1116,21527
368 000,"1026, rue Brosseau",Prévost,3,1+1,1678,39378
324 000,"2451, rue Ouellette",Terrebonne (La Plaine),5,3+1,3150,12500
245 000,"9, rue J.-A.-Vallée",Lévis,2,2,864,5572
259 000,"72, rue du Rocher",St-Ferréol-les-Neiges,3,2,1240,14101
79 000,"335, 10e Rang",Chartierville,3,1,1280,102493
315 000,"421, rue la Barre",Sherbrooke (Jacques-Cartier),4,2,1500,10300
299 000,"851, rue Constantin",Fabreville,3,2,1500,4500
279 000,"9873, avenue Royale",Ste-Anne-de-Beaupré,4,13,1500,7406
245 000,"1065, rue Bussière",Drummondville (Drummondville),3,2,1296,6000
343 500,"76, chemin Scholle",Gatineau (Aylmer),4,1+1,1495,43555
225 000,", rue Gilles-Boutin",Breakeyville,4,1+1,1495,21460
139 500,"271, rue Turgeon",Hébertville,3,2,2076,10664
199 900,"1365, rue des Cavaliers - Par Construction CMA",Trois-Rivières (Pointe-Du-Lac),2,1,1000,1
479 000,"215, rue de l'Aubier - Par Construction CMA",Trois-Rivières (Pointe-Du-Lac),4,2+1,2000,10465
147 500,"401-172, rue Lamarche",Gatineau (Gatineau),2,1,925,1436
349 000,"113, chemin Ducharme",Val-Des-Bois,4,2,1250,17265
589 000,"143, rue des Sucres",Gatineau (Gatineau),5,2+1,2380,7153
229 500,"273, rue la Petite 3e",St-Raphael-de-Bellechasse,5,1+1,2380,40000
191 000,"400, rue Martel - Par Arsenault construction et fils.",St-Marc-Des-Carrieres,2,1,2380,10000
373 000,"7, rue de la Tourelle",Fossambault-Sur-Le-Lac,4,2+1,2400,15013
179 000,", chemin du Plateau",Petite-Rivière-St-François,4,2+1,2400,73250
295 000,"240, rue de la Rivière",Ste-Monique-Lac-St-Jean,2,1,1200,21598
625 000,"450, rang Saint-François",Blainville,5,2+1,1100,32453
398 000,"244, rue de l'Église",St-François-Xavier-De-Brompton,2,1+1,1100,1219680
176 500,"2737, rue des Alpes",Sherbrooke (Fleurimont),3,2,827,3045
298 000,"1395, rue des Pierrots",Ste-Adèle,3,1+1,2052,24320
499 999,"1270-1272, rue Jean-Guy",Prévost,5,3+2,3500,36358
229 000,"1060, rue Principale",St-Étienne-Des-Gres,4,3,2040,52000
89 500,"590, rue du Moulin",Ste-Beatrix,4,3,2040,73699
45 000,"900, route 230 Est",St-Pascal-De-Kamouraska,6,1,2300,48195
139 000,"1861, avenue de Grand-mère",Shawinigan (Grand-Mère),16,3+1,2300,23492
199 000,"4137, rue Rubens",Jonquière (Jonquière),3,2,864,6254
629 500,"3962, rue des Champs",St-Antoine-De-Tilly,2,2,2600,88684
299 900,"1182, rue des Merisiers",St-Nicolas,3,2+1,1440,6921
159 000,"315, rue de l'Église",St-Epiphane,4,2+2,919,8910
175 000,"294, rue Notre-Dame Sud",Ste-Marie,3,1+1,919,9402
212 500,", rue Principale",Cowansville,3,1+1,919,109740
199 000,"1254, chemin des Lacs",St-Faustin-Lac-Carré,3,2+1,864,20706
350 000,"20, rue Neptune",Mandeville,4,1+2,864,183707
309 900,"1390, chemin Pincourt",Mascouche,3,2,2160,25327
439 900,1790-1792 rue de Grondines,Terrebonne (Terrebonne),3,1+1,1200,7038
298 500,"6540, rue Saint-Pierre Ouest",St-Hyacinthe,3,2,1130,7748
474 000,"8760, avenue Royale",Château-Richer,4,2,2500,17151
212 900,"1131, rue de la Prairie Ouest - Par Construction C.R.D",St-Jean-Chrysostome,4,2,1280,16662
299 000,"1026, RUE JACINTHE",St-Jérôme (Bellefeuille),3,1+1,3060,20000
565 000,"137, Chemin de la Pointe-aux-Roches",Luskville,4,2,1025,121968
188 000,"559, route de la Cèdrière, B.P. 72",Ste-Angèle-De-Merici,3,1+1,2000,26280
259 000,"338-336, 42e Rue Ouest",Charlesbourg,3,1,2000,5100
450 000,"686, rue Sorbier",Beauport,2,1,1660,27009
208 500,"661, carré Étienne-Blyth",St-Jérôme (St-Jérôme),2,1+1,1076,3834
364 900,"908, rue de la Citation",St-Jérôme (Bellefeuille),4,1+1,2400,8640
550 000,"131, rue Emmanuel",St-Donat,4,1+1,2400,72000
194 900,"126, chemin du Lac-Jackson",St-Mathieu-Du-Parc,3,3+1,2400,9569
115 000,"271, chemin du Grand Bois",St-Étienne-De-Bolton,3,3+1,2400,65340
289 900,"1370, avenue Rawlinson",Mascouche,4,2,1000,12000
213 000,"345, rue du Belvédère",Ste-Sophie,4,1,1044,6667
320 000,"849, rue des Cheminots",Mont-St-Hilaire,4,2+1,1592,3624
249 900,"995, rue des Glaieuls",Mascouche,3,1,1592,8081
450 000,"23, rue des Nations",Ste-Anne-De-Sorel,4,2,2750,24960
1 450 000,"400-410-1575, boulevard de l'Avenir",Chomedey,14,2,2750,6306
596 500,"10145, rue du Caire",Neufchatel,4,2+1,1558,7745
442 000,"4323, rue Magloire",Sherbrooke (Rock Forest),3,1+1,2183,10000
599 000,"47, rue Saint-Jude",Victoriaville,4,3+1,3600,16320
695 000,"3301, rue de l'Amiral",Longueuil (St-Hubert),4,3+1,3600,5400
135 000,"9, rue de l'Espérance",Chute-aux-Outardes,5,2+1,3600,7933
